date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
12/4/2014,140.9078,141.3288,140.0487,140.9422,3862916,3862916,-0.403797,-0.286,140.805,4-Dec-14,-0.103248843
12/5/2014,140.5642,141.3288,139.9628,140.2721,3013500,3013500,-0.67013,-0.475,140.2971,5-Dec-14,-0.107512385
12/8/2014,140.2893,140.2893,138.7857,139.0607,2851383,2851383,-1.2114,-0.864,139.3517,8-Dec-14,-0.115219972
12/9/2014,138.1844,140.0573,138.15,140.0315,3865905,3865905,0.970832,0.698,139.2983,9-Dec-14,-0.109043213
12/10/2014,140.0487,140.3236,137.4884,137.9008,4082384,4082384,-2.1307,-1.522,138.3711,10-Dec-14,-0.122599889
12/11/2014,138.1672,139.98,137.9094,138.382,3989571,3989571,0.481119,0.349,139.0759,11-Dec-14,-0.119538232
12/12/2014,137.6775,137.8922,133.4505,133.4934,8611748,8611748,-4.8885,-3.533,134.811,12-Dec-14,-0.150642172
12/15/2014,133.966,134.661,131.3112,131.5002,6500311,6500311,-1.9932,-1.493,132.2754,15-Dec-14,-0.163323997
12/16/2014,130.6153,133.0725,129.3008,130.0826,6782593,6782593,-1.4176,-1.078,131.0881,16-Dec-14,-0.172343542
12/17/2014,130.1772,131.7133,129.8249,130.5294,5139465,5139465,0.446752,0.343,130.442,17-Dec-14,-0.169500757
12/18/2014,131.947,135.4695,131.7064,135.4695,7302356,7302356,4.9401,3.785,134.0973,18-Dec-14,-0.138069146
12/19/2014,135.3062,137.8149,135.3062,136.1826,8864850,8864850,0.713089,0.526,136.2861,19-Dec-14,-0.133532014
12/22/2014,136.0279,139.1036,136.0279,138.6998,4682509,4682509,2.5173,1.848,138.2989,22-Dec-14,-0.117516215
12/23/2014,139.3786,139.9542,138.8459,139.3872,4044220,4044220,0.687315,0.496,139.4648,23-Dec-14,-0.113142601
12/24/2014,139.937,140.0315,138.8459,139.0263,1869977,1869977,-0.360843,-0.259,139.5213,24-Dec-14,-0.115438844
12/26/2014,139.4129,140.1174,139.1895,139.4731,1912310,1912310,0.446756,0.321,139.7038,26-Dec-14,-0.112596059
12/29/2014,139.181,139.4731,136.9901,137.9008,3331833,3331833,-1.5722,-1.127,137.877,29-Dec-14,-0.122599889
12/30/2014,137.4799,138.1672,137.2823,137.5056,2829904,2829904,-0.395204,-0.287,137.6462,30-Dec-14,-0.125114367
12/31/2014,137.8149,138.7514,137.7891,137.8407,4011909,4011909,0.335063,0.244,138.2409,31-Dec-14,-0.122982278
1/2/2015,138.5882,140.3064,138.3218,139.2325,5525466,5525466,1.3918,1.01,139.4822,2-Jan-15,-0.114126887
1/5/2015,138.5538,138.5538,136.7668,137.0417,4880389,4880389,-2.1908,-1.573,137.2164,5-Jan-15,-0.128065952
1/6/2015,137.1792,137.4283,133.313,134.0862,6146712,6146712,-2.9554,-2.157,134.682,6-Jan-15,-0.146870455
1/7/2015,135.0571,135.0571,132.3336,133.2099,4701839,4701839,-0.876324,-0.654,133.093,7-Jan-15,-0.152445953
1/8/2015,134.2323,136.6413,133.6395,136.1052,4241113,4241113,2.8953,2.173,135.7785,8-Jan-15,-0.134024475
1/9/2015,136.1052,137.7548,135.1,136.698,4488347,4488347,0.59281,0.436,136.3746,9-Jan-15,-0.130252758
1/12/2015,136.6035,136.8183,133.8199,134.4041,4187638,4187638,-2.2939,-1.678,134.7909,12-Jan-15,-0.144847802
1/13/2015,135.1086,137.4369,133.7512,134.722,4377510,4377510,0.317882,0.237,135.726,13-Jan-15,-0.142825148
1/14/2015,133.0467,134.4471,132.0844,133.8543,4690294,4690294,-0.867733,-0.644,133.3508,14-Jan-15,-0.148345929
1/15/2015,134.6189,134.8595,132.4453,132.7975,4251723,4251723,-1.0567,-0.789,133.1933,15-Jan-15,-0.155069867
1/16/2015,132.1532,135.4265,132.1532,135.0055,5756041,5756041,2.208,1.663,134.3037,16-Jan-15,-0.141021367
1/20/2015,134.6275,135.1688,132.3336,134.8423,8392773,8392773,-0.163237,-0.121,133.9617,20-Jan-15,-0.142059734
1/21/2015,131.4745,132.7374,129.7905,130.6669,11897123,11897123,-4.1754,-3.097,130.6758,21-Jan-15,-0.168625907
1/22/2015,130.538,133.7855,130.3833,133.502,6120113,6120113,2.8352,2.17,132.4673,22-Jan-15,-0.150587454
